region,country,source_area,date_retrieved,co2e,source
us-east-1,United States,PJM Interconnection,1-9-22,365,https://app.electricitymaps.com/
us-east-2,United States,PJM Interconnection,1-9-22,365,https://app.electricitymaps.com/
us-west-1,United States,California Independent System Operator,1-9-22,283,https://app.electricitymaps.com/
us-west-2,United States,Pacificorp West ,1-9-22,205,https://app.electricitymaps.com/
us-gov-east-1,United States,PJM Interconnection,1-9-22,365,https://app.electricitymaps.com/
us-gov-west-1,United States,California Independent System Operator,1-9-22,283,https://app.electricitymaps.com/
af-south-1,South Africa,South Africa,1-9-22,697,https://app.electricitymaps.com/
ap-east-1,Hong Kong,Hong Kong,1-9-22,435,https://app.electricitymaps.com/
ap-south-1,India,Maharashtra,1-9-22,754,https://app.electricitymaps.com/
ap-northeast-3,Japan,Kansai,1-9-22,480,https://app.electricitymaps.com/
ap-northeast-2,South Korea,South Korea,1-9-22,503,https://app.electricitymaps.com/
ap-southeast-1,Singapore,Singapore,1-9-22,492,https://app.electricitymaps.com/
ap-southeast-2,Australia,New South Wales ,1-9-22,633,https://app.electricitymaps.com/
ap-northeast-1,Japan,Tokyo,1-9-22,553,https://app.electricitymaps.com/
ca-central-1,Canada,Québec,1-9-22,29,https://app.electricitymaps.com/
cn-north-1,China,CHina (PR),1-3-22,537.4,https://www.cloudcarbonfootprint.org/docs/methodology#appendix-v-grid-emissions-factors
cn-northwest-1,China,China (PR),1-3-22,537.4,https://www.cloudcarbonfootprint.org/docs/methodology#appendix-v-grid-emissions-factors
eu-central-1,Germany,Germany,1-9-22,383,https://app.electricitymaps.com/
eu-west-1,Ireland,Ireland,1-9-22,404,https://app.electricitymaps.com/
eu-west-2,England,Great Britain,1-9-22,280,https://app.electricitymaps.com/
eu-south-1,Italy,North Italy,1-9-22,334,https://app.electricitymaps.com/
eu-west-3,France,France,1-9-22,100,https://app.electricitymaps.com/
eu-north-1,Sweden,South Central Sweden ,1-9-22,30,https://app.electricitymaps.com/
me-south-1,Bahrain,Bahrain,1-3-22,505.9,https://www.cloudcarbonfootprint.org/docs/methodology#appendix-v-grid-emissions-factors
sa-east-1,Brazil,Central Brazil,1-9-22,117,https://app.electricitymaps.com/
